source_file,true_label,predicted_label,num_query_chunks,benign_score,phishing_score,phishing_probability,unique_benign_sources,unique_phishing_sources,tie
html_clean/010727.txt,0,1,279,51.29543000459671,349.10815856864673,0.8718906836290415,54,400,0
html_clean/031931.txt,0,1,35,53.327048459400054,90.37221155798855,0.628898238912663,60,107,0
html_clean/025944.txt,0,1,92,111.54656921116751,197.9934103091766,0.6396376022767157,112,229,0
html_clean/089310.txt,0,0,42,277.212293483315,195.627266990213,0.4137286372449481,312,223,0
html_clean/120196.txt,1,1,5,35.20249757486965,46.68421012673387,0.5701073035791338,41,47,0
html_clean/022795.txt,0,1,38,62.416050942532934,100.78026059930113,0.6175400635416133,73,121,0
html_clean/002445.txt,0,0,173,438.2886842477566,260.1352861385524,0.3724604211316911,508,304,0
html_clean/148558.txt,1,0,1,6.704289972782135,5.588719189167023,0.45462580524758067,10,10,0
html_clean/134685.txt,1,1,3,23.592046976089478,29.970435082912445,0.5595415658650474,30,30,0
html_clean/112124.txt,1,0,10,51.963777015403046,45.237451591396585,0.46539999791969744,55,54,0
html_clean/125788.txt,1,1,3,23.56191349029541,27.975210317389156,0.5428166775814106,30,28,0
html_clean/142707.txt,1,1,65,51.70327128760134,429.447335582773,0.8925424377537352,58,432,0
html_clean/007529.txt,0,0,164,544.715326336408,275.826672138653,0.3361518028952375,581,302,0
html_clean/014555.txt,0,0,122,387.41393302571856,198.53232373731237,0.33882343550426164,404,220,0
html_clean/136938.txt,1,0,3,23.378950448985655,21.98588684738811,0.48464599803922476,29,22,0
html_clean/089304.txt,0,0,498,643.3851100837024,443.93229998523475,0.408282159261194,688,496,0
html_clean/130391.txt,1,0,1,6.91961532831192,5.870344340801239,0.4589806764580894,10,10,0
html_clean/146207.txt,1,1,1,9.811811566352844,10.0,0.504749399948028,10,10,0
html_clean/012124.txt,0,0,81,371.82230999419284,297.89968186351905,0.44481095960009986,424,361,0
html_clean/140676.txt,1,1,1,7.758080363273621,9.932959139347076,0.5614683714812596,10,10,0
html_clean/133840.txt,1,1,1,7.162764608860016,10.0,0.5826567122430644,10,10,0
html_clean/000520.txt,0,0,97,559.6918055143445,286.7200120719495,0.33874764755717457,647,336,0
html_clean/141540.txt,1,1,3,23.612222969532013,28.98718525580328,0.5510933722224115,30,29,0
html_clean/108626.txt,1,0,29,89.94875288217007,83.45956714940394,0.4812892895462438,102,87,0
html_clean/118435.txt,1,1,3,23.76611042022705,29.984375178813934,0.5578438007516143,30,30,0
html_clean/011405.txt,0,0,1,7.2555981278419495,7.027380526065826,0.4920108540625144,10,10,0
html_clean/000508.txt,0,0,141,719.1318131051396,383.7775864719797,0.3479683704020737,810,439,0
